simulation_id,controller,cost,exec_time,success
0,M,55863.5,1.8421902656555176,True
0,M_term,14786.9,7.840728521347046,True
0,N+M,14558.3,18.760109901428223,True
1,M,41445.3,1.6253368854522705,True
1,M_term,11073.6,7.057631969451904,True
1,N+M,10631.8,21.33851385116577,True
2,M,68701.5,1.6715154647827148,True
2,M_term,17950.9,7.77507209777832,True
2,N+M,17828.6,19.915525436401367,True
3,M,62308.5,1.5506031513214111,True
3,M_term,16711.5,6.667570352554321,True
3,N+M,16047,17.35903024673462,True
4,M,25377.8,1.896714448928833,True
4,M_term,7235.9,7.773044109344482,True
4,N+M,6571.11,18.782328367233276,True
5,M,96292,1.5395567417144775,True
5,M_term,25366.4,7.108865261077881,True
5,N+M,24866.2,21.006575107574463,True
6,M,99806.7,1.9434552192687988,True
6,M_term,26101.3,7.874709606170654,True
6,N+M,25606.3,20.91692876815796,True
7,M,26789.5,1.6132473945617676,True
7,M_term,7003.38,7.022977828979492,True
7,N+M,6878.83,20.704732418060303,True
8,M,18881.2,1.8462011814117432,True
8,M_term,5040.99,7.4402899742126465,True
8,N+M,4921.23,19.05939555168152,True
9,M,60732.4,1.8582310676574707,True
9,M_term,15976.7,8.412861347198486,True
9,N+M,15842.6,20.866719007492065,True
10,M,84257.8,1.6561098098754883,True
10,M_term,21994.7,8.534496068954468,True
10,N+M,21858.6,20.485265970230103,True
11,M,31770.8,1.6781291961669922,True
11,M_term,8899.62,7.972994327545166,True
11,N+M,8241.42,19.1120445728302,True
12,M,6415.52,1.676295280456543,True
12,M_term,1784.54,7.5087902545928955,True
12,N+M,1667.88,21.250372409820557,True
13,M,99885.8,1.5866987705230713,True
13,M_term,26263.3,6.206905364990234,True
13,N+M,25755.3,17.377767086029053,True
14,M,68178.8,1.8774268627166748,True
14,M_term,18032.9,7.254950523376465,True
14,N+M,17397.5,18.51735210418701,True
15,M,62782.4,1.8221662044525146,True
15,M_term,16304.8,8.305474519729614,True
15,N+M,16140.2,20.71018958091736,True
