simulation_id,controller,cost,exec_time,success
0,M,63597.5,3.626756429672241,True
0,M_term,20701.3,9.063365936279297,True
0,N+M,20421.2,31.715222358703613,True
1,M,64525.6,3.751316785812378,True
1,M_term,21115.7,8.970156192779541,True
1,N+M,20865.5,31.80603861808777,True
2,M,141461,3.7451436519622803,True
2,M_term,49545.5,9.010220050811768,True
2,N+M,46432,31.879106521606445,True
3,M,30129,3.486863851547241,True
3,M_term,9977.04,8.769585609436035,True
3,N+M,9649.29,31.471959829330444,True
4,M,33506.7,3.3847153186798096,True
4,M_term,11051.3,8.071508646011353,True
4,N+M,10718.2,31.23781943321228,True
5,M,60692.9,3.6117091178894043,True
5,M_term,19797.3,8.159621238708496,True
5,N+M,19585.1,31.237709045410156,True
6,M,101149,3.617426872253418,True
6,M_term,33555,7.8768346309661865,True
6,N+M,33711.2,31.961097240447998,True
7,M,72575.3,3.556316614151001,True
7,M_term,23874.6,8.224379301071167,True
7,N+M,23870.2,31.847109079360962,True
8,M,1236.72,2.848100423812866,True
8,M_term,544.235,7.647144079208374,True
8,N+M,361.506,30.515980005264282,True
9,M,30839.5,3.399738311767578,True
9,M_term,10122.9,8.203071117401123,True
9,N+M,9889.68,31.147708892822266,True
10,M,51999.6,3.4569149017333984,True
10,M_term,17060.8,7.592795372009277,True
10,N+M,16819,31.35477352142334,True
11,M,35726.2,3.3662922382354736,True
11,M_term,11620.5,8.22266435623169,True
11,N+M,11319.5,31.496695518493652,True
12,M,99273,3.3721444606781006,True
12,M_term,33961.5,8.136235237121582,True
12,N+M,32809.9,32.0846152305603,True
13,M,33534.4,3.3107852935791016,True
13,M_term,11008.1,8.188363790512085,True
13,N+M,10833.1,31.41257405281067,True
14,M,11630.8,3.1366848945617676,True
14,M_term,3997.17,8.015334129333496,True
14,N+M,3794.98,30.83562970161438,True
15,M,41885.5,3.3716683387756348,True
15,M_term,13757.8,7.202270984649658,True
15,N+M,13498.3,31.324533939361572,True
16,M,38286.5,3.341672658920288,True
16,M_term,12583.2,9.146615982055664,True
16,N+M,12373.1,31.926878213882446,True
17,M,26707.1,3.2874817848205566,True
17,M_term,8997.17,8.945783853530884,True
17,N+M,8621.19,31.83766460418701,True
18,M,39920.8,3.393031597137451,True
18,M_term,12757.6,8.799839735031128,True
18,N+M,12627.7,32.09552884101868,True
19,M,36783.2,3.3762025833129883,True
19,M_term,11886.1,8.760009288787842,True
19,N+M,11753.6,32.192636489868164,True
